ticker_yf,div_date,div_amount
AAB.TO,2011-03-11,0.01
AAB.TO,2012-03-14,0.01
AAB.TO,2012-09-18,0.01
AAB.TO,2012-09-24,0.01
AAPL.TO,2022-08-05,0.035
AAPL.TO,2022-11-04,0.034
AAPL.TO,2023-02-10,0.034
AAPL.TO,2023-05-12,0.036
AAPL.TO,2023-08-11,0.036
AAPL.TO,2023-11-10,0.035
AAPL.TO,2024-02-09,0.035
AAPL.TO,2024-05-10,0.037
AAPL.TO,2024-06-26,0.167
AAPL.TO,2024-08-12,0.037
AAPL.TO,2024-11-08,0.037
AAPL.TO,2025-02-10,0.036
AAPL.TO,2025-05-12,0.038
AAPL.TO,2025-08-11,0.037
AAPL.TO,2025-11-10,0.037
AAPL.TO,2026-02-09,0.037
ABX.TO,1995-05-25,0.03
ABX.TO,1995-11-28,0.03
ABX.TO,1996-05-29,0.035
ABX.TO,1996-11-27,0.035
ABX.TO,1997-05-28,0.04
ABX.TO,1997-11-26,0.04
ABX.TO,1998-05-27,0.045
ABX.TO,1998-11-26,0.045
ABX.TO,1999-05-27,0.05
ABX.TO,1999-11-26,0.05
ABX.TO,2003-11-27,0.073
ABX.TO,2004-05-27,0.075
ABX.TO,2004-11-26,0.065
ABX.TO,2005-05-27,0.087
ABX.TO,2005-11-28,0.129
ABX.TO,2006-05-29,0.123
ABX.TO,2006-11-28,0.123
ABX.TO,2007-05-29,0.168
ABX.TO,2007-11-28,0.168
ABX.TO,2008-05-28,0.202
ABX.TO,2008-11-26,0.254
ABX.TO,2009-05-27,0.244
ABX.TO,2009-11-26,0.213
ABX.TO,2010-05-27,0.203
ABX.TO,2010-08-27,0.125
ABX.TO,2010-11-26,0.123
ABX.TO,2011-02-24,0.119
ABX.TO,2011-05-27,0.114
ABX.TO,2011-08-29,0.113
ABX.TO,2011-11-28,0.152
ABX.TO,2012-02-27,0.15
ABX.TO,2012-05-29,0.197
ABX.TO,2012-08-29,0.204
ABX.TO,2012-11-28,0.2
ABX.TO,2013-02-26,0.2
ABX.TO,2013-05-29,0.208
ABX.TO,2013-05-30,0.205
ABX.TO,2013-08-28,0.052
ABX.TO,2013-11-27,0.053
ABX.TO,2014-02-26,0.055
ABX.TO,2014-05-28,0.054
ABX.TO,2014-08-27,0.055
ABX.TO,2014-11-26,0.056
ABX.TO,2015-02-25,0.062
ABX.TO,2015-05-27,0.062
ABX.TO,2015-08-27,0.027
ABX.TO,2015-11-26,0.027
ABX.TO,2016-02-25,0.027
ABX.TO,2016-05-27,0.026
ABX.TO,2016-08-29,0.026
ABX.TO,2016-11-28,0.027
ABX.TO,2017-02-24,0.039
ABX.TO,2017-08-29,0.038
ABX.TO,2017-11-29,0.038
ABX.TO,2018-02-27,0.038
ABX.TO,2018-05-30,0.039
ABX.TO,2018-08-30,0.039
ABX.TO,2018-11-29,0.04
ABX.TO,2018-12-27,0.095
ABX.TO,2019-05-30,0.054
ABX.TO,2019-08-29,0.053
ABX.TO,2019-11-28,0.066
ABX.TO,2020-02-27,0.093
ABX.TO,2020-05-28,0.096
ABX.TO,2020-08-28,0.105
ABX.TO,2020-11-27,0.117
ABX.TO,2021-02-26,0.113
ABX.TO,2021-05-27,0.279
ABX.TO,2021-08-30,0.29
ABX.TO,2021-11-29,0.294
ABX.TO,2022-02-25,0.128
ABX.TO,2022-05-26,0.256
ABX.TO,2022-08-30,0.26
ABX.TO,2022-11-29,0.202
ABX.TO,2023-02-27,0.136
ABX.TO,2023-05-30,0.136
ABX.TO,2023-08-30,0.136
ABX.TO,2023-11-29,0.136
ABX.TO,2024-02-28,0.135
ABX.TO,2024-05-31,0.137
ABX.TO,2024-08-30,0.135
ABX.TO,2024-11-29,0.14
ABX.TO,2025-02-28,0.144
ABX.TO,2025-05-30,0.138
ABX.TO,2025-08-29,0.206
ABX.TO,2025-11-28,0.246
ACD.TO,1996-05-13,0.02
ACD.TO,1996-08-13,0.02
ACD.TO,1996-11-13,0.02
ACD.TO,1997-02-12,0.02
ACD.TO,1997-05-13,0.02
ACD.TO,1997-08-13,0.02
ACD.TO,1997-11-12,0.025
ACD.TO,1998-02-11,0.025
ACD.TO,1998-05-13,0.025
ACD.TO,1998-08-12,0.025
ACD.TO,1998-11-10,0.025
ACD.TO,1999-02-11,0.025
ACD.TO,1999-05-12,0.025
ACD.TO,1999-08-11,0.035
ACD.TO,1999-11-10,0.035
ACD.TO,2000-02-11,0.035
ACD.TO,2000-05-11,0.035
ACD.TO,2000-08-11,0.035
ACD.TO,2000-11-10,0.035
ACD.TO,2001-02-13,0.035
ACD.TO,2001-05-11,0.035
ACD.TO,2001-08-13,0.035
ACD.TO,2001-11-13,0.035
ACD.TO,2001-11-20,0.035
ACD.TO,2002-02-13,0.035
ACD.TO,2002-05-13,0.035
ACD.TO,2002-08-13,0.035
ACD.TO,2002-11-13,0.035
ACD.TO,2003-02-13,0.035
ACD.TO,2003-05-13,0.035
ACD.TO,2003-08-13,0.045
ACD.TO,2003-11-12,0.045
ACD.TO,2004-02-11,0.045
ACD.TO,2004-05-12,0.045
ACD.TO,2004-06-11,0.045
ACD.TO,2004-08-11,0.045
ACD.TO,2004-11-10,0.045
ACD.TO,2005-02-11,0.045
ACD.TO,2005-05-11,0.045
ACD.TO,2005-08-11,0.045
ACD.TO,2005-11-11,0.045
ACD.TO,2006-02-13,0.045
ACD.TO,2006-05-11,0.045
ACD.TO,2006-08-11,0.055
ACD.TO,2006-11-10,0.055
ACD.TO,2007-02-13,0.055
ACD.TO,2007-05-15,0.055
ACD.TO,2007-08-13,0.055
ACD.TO,2007-11-13,0.055
ACD.TO,2008-02-13,0.055
ACD.TO,2008-05-13,0.055
ACD.TO,2008-08-13,0.065
ACD.TO,2008-11-12,0.065
ACD.TO,2009-02-11,0.065
ACD.TO,2009-05-13,0.065
ACD.TO,2009-08-12,0.065
ACD.TO,2009-11-10,0.065
ACD.TO,2010-02-10,0.065
ACD.TO,2010-05-12,0.065
ACD.TO,2010-08-11,0.075
ACD.TO,2010-11-10,0.075
ACD.TO,2011-02-11,0.075
ACD.TO,2011-05-12,0.075
ACD.TO,2011-08-11,0.075
ACD.TO,2011-11-10,0.075
ACD.TO,2012-02-13,0.075
ACD.TO,2012-05-11,0.075
ACD.TO,2012-08-13,0.08
ACD.TO,2012-11-13,0.08
ACD.TO,2013-02-13,0.08
ACD.TO,2013-05-13,0.08
ACD.TO,2013-08-13,0.08
ACD.TO,2013-11-13,0.08
ACD.TO,2014-02-12,0.08
ACD.TO,2014-05-13,0.08
ACD.TO,2014-08-13,0.085
ACD.TO,2014-11-12,0.085
ACD.TO,2015-02-11,0.085
ACD.TO,2015-05-13,0.085
ACD.TO,2015-08-12,0.09
ACD.TO,2015-11-10,0.09
ACD.TO,2016-02-10,0.09
ACD.TO,2016-05-12,0.09
ACD.TO,2016-08-11,0.09
ACD.TO,2016-11-10,0.09
ACD.TO,2017-02-10,0.09
ACD.TO,2017-05-15,0.09
ACD.TO,2017-08-11,0.09
ACD.TO,2017-11-14,0.09
ACD.TO,2018-02-14,0.09
ACD.TO,2018-05-16,0.09
ACD.TO,2018-08-14,0.09
ACD.TO,2018-11-14,0.09
ACD.TO,2019-02-14,0.09
ACD.TO,2019-05-16,0.09
ACD.TO,2019-08-14,0.09
ACD.TO,2019-11-14,0.09
ACD.TO,2020-02-13,0.09
ACD.TO,2020-05-14,0.05
ACD.TO,2020-08-13,0.05
ACD.TO,2020-11-12,0.05
ACD.TO,2021-02-11,0.05
ACD.TO,2021-05-13,0.05
ACD.TO,2021-08-13,0.05
ACD.TO,2021-11-12,0.05
ACD.TO,2022-02-14,0.075
ACD.TO,2022-05-12,0.075
ACD.TO,2022-08-12,0.075
ACD.TO,2022-11-14,0.075
ACD.TO,2023-02-14,0.075
ACD.TO,2023-05-12,0.075
ACD.TO,2023-08-14,0.075
ACQ.TO,2008-07-29,0.083
ACQ.TO,2008-08-27,0.083
ACQ.TO,2008-09-26,0.083
ACQ.TO,2008-10-29,0.083
ACQ.TO,2008-11-26,0.083
ACQ.TO,2008-12-29,0.083
ACQ.TO,2009-01-28,0.083
ACQ.TO,2009-02-25,0.042
ACQ.TO,2010-05-27,0.04
ACQ.TO,2010-08-27,0.04
ACQ.TO,2010-11-26,0.04
ACQ.TO,2011-02-24,0.04
ACQ.TO,2011-05-27,0.05
ACQ.TO,2011-08-29,0.1
ACQ.TO,2011-11-28,0.12
ACQ.TO,2012-02-27,0.14
ACQ.TO,2012-05-29,0.15
ACQ.TO,2012-08-29,0.16
ACQ.TO,2012-11-28,0.17
ACQ.TO,2013-02-26,0.18
ACQ.TO,2013-05-29,0.19
ACQ.TO,2013-08-28,0.2
ACQ.TO,2013-11-27,0.21
ACQ.TO,2014-02-26,0.22
ACQ.TO,2014-05-28,0.23
ACQ.TO,2014-08-27,0.24
ACQ.TO,2014-11-26,0.25
ACQ.TO,2015-02-25,0.25
ACQ.TO,2015-05-27,0.25
ACQ.TO,2015-08-27,0.25
ACQ.TO,2015-11-26,0.25
ACQ.TO,2016-02-25,0.25
ACQ.TO,2016-05-27,0.1
ACQ.TO,2016-08-29,0.1
ACQ.TO,2016-11-28,0.1
ACQ.TO,2017-02-24,0.1
ACQ.TO,2017-05-29,0.1
ACQ.TO,2017-08-29,0.1
ACQ.TO,2017-11-29,0.1
ACQ.TO,2018-02-28,0.1
ACQ.TO,2018-05-30,0.1
ACQ.TO,2018-08-30,0.1
ACQ.TO,2018-11-29,0.1
ACQ.TO,2019-02-28,0.1
ACQ.TO,2019-05-30,0.1
ACQ.TO,2019-08-29,0.1
ACQ.TO,2019-11-28,0.1
ACQ.TO,2020-02-28,0.1
ACX.TO,2002-09-26,0.266
ACX.TO,2002-12-27,0.392
ACX.TO,2003-03-27,0.385
ACX.TO,2003-06-26,0.385
ACX.TO,2003-09-26,0.385
ACX.TO,2003-12-29,0.385
ACX.TO,2004-01-28,0.42
ACX.TO,2004-02-25,0.42
ACX.TO,2004-03-29,0.42
ACX.TO,2004-04-28,0.42
ACX.TO,2004-05-27,0.42
ACX.TO,2004-06-28,0.42
ACX.TO,2004-07-28,0.42
ACX.TO,2004-08-27,0.42
ACX.TO,2004-09-28,0.42
ACX.TO,2004-10-27,0.42
ACX.TO,2004-12-29,0.476
